SUM_Measure_1,SUM_Measure_2,SUM_Measure_3,SUM_Measure_4,SUM_Measure_5,SUM_Measure_6,SUM_Measure_7,SUM_Measure_8,SUM_Measure_9,SUM_Measure_10,CNT_Measure_1,CNT_Measure_2,CNT_Measure_3,CNT_Measure_4,CNT_Measure_5,AVG_Measure_1,AVG_Measure_2,AVG_Measure_3,AVG_Measure_4,AVG_Measure_5,Key_Dim_1,Key_Dim_2,Key_Dim_3,Key_Dim_4,Key_Dim_5,Key_Dim_6,Key_Dim_7,Key_Dim_8,Key_Dim_9,Key_Dim_10,Other_Field_1,Other_Field_2,Other_Field_3,Other_Field_4,Other_Field_5,Other_Field_6,Other_Field_7,Other_Field_8,Other_Field_9,Other_Field_10,DateKey
66420.26,9,1474.4,,,,,,,,1018,,,,,4.5,,,,,IT,North Sydney,Casual,Grade 4,,,,,,,Ryan Evans,ryan.evans@health.nsw.gov.au,On track,,,,,,,,2024-11-05
103278.7,28,881.1,,,,,,,,1019,,,,,4.5,,,,,Finance,Sydney CBD,Full Time,Grade 4,,,,,,,Chen King,chen.king@health.nsw.gov.au,On track,,,,,,,,2023-09-12
62570.31,35,952.4,,,,,,,,1020,,,,,2.7,,,,,Marketing,Chatswood,Part Time,Grade 1,,,,,,,Sophia Parker,sophia.parker@health.nsw.gov.au,On track,,,,,,,,2023-02-21
140864.63,35,1688.5,,,,,,,,1021,,,,,4.9,,,,,Sales,North Sydney,Casual,Grade 4,,,,,,,Mia Thompson,mia.thompson@health.nsw.gov.au,Escalated,,,,,,,,2023-03-02
57988.31,1,1972.1,,,,,,,,1022,,,,,2.1,,,,,IT,Parramatta,Casual,Grade 5,,,,,,,Ruby Murphy,ruby.murphy@health.nsw.gov.au,Escalated,,,,,,,,2023-06-08
62282.64,14,1940.5,,,,,,,,1023,,,,,3.3,,,,,Finance,Parramatta,Full Time,Grade 1,,,,,,,Lauren Mitchell,lauren.mitchell@health.nsw.gov.au,Pending approval,,,,,,,,2024-06-27
56763.56,33,252.2,,,,,,,,1024,,,,,1.7,,,,,HR,North Sydney,Casual,Grade 1,,,,,,,Jessica Hughes,jessica.hughes@health.nsw.gov.au,Pending approval,,,,,,,,2024-08-31
36756.08,6,896.5,,,,,,,,1025,,,,,3.3,,,,,Operations,Parramatta,Part Time,Grade 3,,,,,,,Sam Martin,sam.martin@health.nsw.gov.au,Escalated,,,,,,,,2023-05-15
144187.34,20,968.7,,,,,,,,1026,,,,,4.7,,,,,HR,Sydney CBD,Casual,Grade 5,,,,,,,Jessica Evans,jessica.evans@health.nsw.gov.au,On track,,,,,,,,2024-07-04
66236.23,17,351.7,,,,,,,,1027,,,,,2.4,,,,,HR,North Sydney,Contract,Grade 3,,,,,,,Daniel Baker,daniel.baker@health.nsw.gov.au,Pending approval,,,,,,,,2024-12-21
81427.91,42,1105.0,,,,,,,,1028,,,,,3.7,,,,,Marketing,Sydney CBD,Part Time,Grade 3,,,,,,,Liam Evans,liam.evans@health.nsw.gov.au,,,,,,,,,2024-07-20
56426.14,19,1249.2,,,,,,,,1029,,,,,3.9,,,,,Sales,Parramatta,Casual,Grade 3,,,,,,,Noah Davies,noah.davies@health.nsw.gov.au,,,,,,,,,2024-03-09
170989.18,3,106.7,,,,,,,,1030,,,,,4.1,,,,,Marketing,North Sydney,Casual,Grade 5,,,,,,,Mohammed Adams,mohammed.adams@health.nsw.gov.au,Pending approval,,,,,,,,2023-01-10
49018.56,45,1817.5,,,,,,,,1031,,,,,3.2,,,,,Operations,Macquarie Park,Part Time,Grade 4,,,,,,,Ethan Williams,ethan.williams@health.nsw.gov.au,Completed,,,,,,,,2024-01-09
182826.85,3,1808.0,,,,,,,,1032,,,,,1.8,,,,,Sales,Sydney CBD,Contract,Grade 5,,,,,,,Emma Morris,emma.morris@health.nsw.gov.au,,,,,,,,,2023-06-08
187379.85,16,1742.8,,,,,,,,1033,,,,,4.9,,,,,Engineering,Chatswood,Full Time,Grade 2,,,,,,,Aiden King,aiden.king@health.nsw.gov.au,Escalated,,,,,,,,2024-11-16
176890.88,16,606.9,,,,,,,,1034,,,,,4.1,,,,,HR,Chatswood,Full Time,Grade 4,,,,,,,Ben Wright,ben.wright@health.nsw.gov.au,Escalated,,,,,,,,2023-12-25
81882.45,15,523.6,,,,,,,,1035,,,,,3.6,,,,,Legal,Parramatta,Contract,Grade 1,,,,,,,Elena Harris,elena.harris@health.nsw.gov.au,Completed,,,,,,,,2024-10-18
116598.96,44,1964.2,,,,,,,,1036,,,,,3.1,,,,,Finance,Sydney CBD,Contract,Grade 2,,,,,,,Lauren Martin,lauren.martin@health.nsw.gov.au,On track,,,,,,,,2023-04-22
131417.11,23,1484.2,,,,,,,,1037,,,,,2.3,,,,,HR,Chatswood,Part Time,Grade 3,,,,,,,William Murphy,william.murphy@health.nsw.gov.au,Escalated,,,,,,,,2023-01-02
118386.46,35,1405.0,,,,,,,,1038,,,,,4.8,,,,,Sales,Parramatta,Casual,Grade 1,,,,,,,Ruby King,ruby.king@health.nsw.gov.au,Pending approval,,,,,,,,2023-11-18
142775.87,8,1467.5,,,,,,,,1039,,,,,2.2,,,,,Marketing,Chatswood,Contract,Grade 4,,,,,,,Sophie Clark,sophie.clark@health.nsw.gov.au,Pending approval,,,,,,,,2023-05-11
62612.82,43,1886.7,,,,,,,,1040,,,,,3.7,,,,,Engineering,Macquarie Park,Contract,Grade 4,,,,,,,Sarah Smith,sarah.smith@health.nsw.gov.au,Completed,,,,,,,,2023-10-21
65731.06,38,1252.7,,,,,,,,1041,,,,,2.3,,,,,IT,Chatswood,Part Time,Grade 5,,,,,,,Mia Nguyen,mia.nguyen@health.nsw.gov.au,Needs review,,,,,,,,2024-11-05
44415.24,33,1361.3,,,,,,,,1042,,,,,3.5,,,,,HR,North Sydney,Contract,Grade 2,,,,,,,Ryan Roberts,ryan.roberts@health.nsw.gov.au,On track,,,,,,,,2023-02-17
71623.23,31,1261.4,,,,,,,,1043,,,,,4.1,,,,,IT,Chatswood,Part Time,Grade 4,,,,,,,Chloe Scott,chloe.scott@health.nsw.gov.au,Needs review,,,,,,,,2023-06-01
141529.86,1,1796.1,,,,,,,,1044,,,,,4.4,,,,,HR,Chatswood,Part Time,Grade 2,,,,,,,Sophie Jackson,sophie.jackson@health.nsw.gov.au,Escalated,,,,,,,,2023-02-21
124758.98,8,967.3,,,,,,,,1045,,,,,4.2,,,,,Operations,Chatswood,Casual,Grade 5,,,,,,,Sophia Johnson,sophia.johnson@health.nsw.gov.au,,,,,,,,,2024-05-01
106511.86,49,569.8,,,,,,,,1046,,,,,3.6,,,,,IT,North Sydney,Contract,Grade 4,,,,,,,Jack Murphy,jack.murphy@health.nsw.gov.au,Completed,,,,,,,,2023-08-29
76191.57,21,1796.8,,,,,,,,1047,,,,,1.3,,,,,Engineering,North Sydney,Casual,Grade 2,,,,,,,Mohammed Thompson,mohammed.thompson@health.nsw.gov.au,On track,,,,,,,,2024-02-29
99291.89,35,985.3,,,,,,,,1048,,,,,1.2,,,,,Legal,Chatswood,Full Time,Grade 5,,,,,,,Charlotte Mitchell,charlotte.mitchell@health.nsw.gov.au,On track,,,,,,,,2023-12-27
80764.15,25,1721.6,,,,,,,,1049,,,,,4.8,,,,,Legal,Macquarie Park,Part Time,Grade 4,,,,,,,Ben Harris,ben.harris@health.nsw.gov.au,Escalated,,,,,,,,2024-05-12
34934.22,22,1370.9,,,,,,,,1050,,,,,4.2,,,,,Engineering,Chatswood,Part Time,Grade 5,,,,,,,Hannah Jones,hannah.jones@health.nsw.gov.au,Escalated,,,,,,,,2024-08-29
125946.64,2,259.5,,,,,,,,1051,,,,,2.7,,,,,IT,North Sydney,Full Time,Grade 3,,,,,,,Charlotte Lee,charlotte.lee@health.nsw.gov.au,Needs review,,,,,,,,2024-04-10
85563.79,49,1771.3,,,,,,,,1052,,,,,2.1,,,,,Legal,Parramatta,Full Time,Grade 4,,,,,,,Oliver Nguyen,oliver.nguyen@health.nsw.gov.au,Pending approval,,,,,,,,2023-02-23
199984.33,23,526.0,,,,,,,,1053,,,,,1.3,,,,,Finance,Sydney CBD,Part Time,Grade 2,,,,,,,Oliver Morris,oliver.morris@health.nsw.gov.au,Needs review,,,,,,,,2023-09-02
51457.57,43,317.3,,,,,,,,1054,,,,,4.8,,,,,IT,Parramatta,Contract,Grade 2,,,,,,,Priya Stewart,priya.stewart@health.nsw.gov.au,,,,,,,,,2023-04-28
162224.62,11,1933.0,,,,,,,,1055,,,,,1.4,,,,,Finance,Parramatta,Casual,Grade 4,,,,,,,Mohammed Wright,mohammed.wright@health.nsw.gov.au,On track,,,,,,,,2024-08-29
147404.45,41,561.4,,,,,,,,1056,,,,,3.8,,,,,Marketing,Macquarie Park,Full Time,Grade 5,,,,,,,William Allen,william.allen@health.nsw.gov.au,Pending approval,,,,,,,,2024-03-14
142458.63,5,1061.3,,,,,,,,1057,,,,,2.4,,,,,Legal,Chatswood,Full Time,Grade 4,,,,,,,Cameron Watson,cameron.watson@health.nsw.gov.au,Escalated,,,,,,,,2024-12-25
56008.5,12,1494.2,,,,,,,,1058,,,,,4.9,,,,,Marketing,Macquarie Park,Casual,Grade 4,,,,,,,Ava Bailey,ava.bailey@health.nsw.gov.au,Pending approval,,,,,,,,2023-10-02
84791.78,16,1678.4,,,,,,,,1059,,,,,1.3,,,,,IT,North Sydney,Casual,Grade 5,,,,,,,Mei Cook,mei.cook@health.nsw.gov.au,Escalated,,,,,,,,2023-12-11
34879.0,21,445.5,,,,,,,,1060,,,,,1.8,,,,,Marketing,Parramatta,Contract,Grade 5,,,,,,,Sophie Harris,sophie.harris@health.nsw.gov.au,Pending approval,,,,,,,,2023-01-11
117826.63,13,262.7,,,,,,,,1061,,,,,3.9,,,,,IT,Macquarie Park,Part Time,Grade 4,,,,,,,Lily Murphy,lily.murphy@health.nsw.gov.au,Escalated,,,,,,,,2024-04-03
164798.59,6,659.0,,,,,,,,1062,,,,,2.6,,,,,Sales,Parramatta,Contract,Grade 4,,,,,,,Sarah Jackson,sarah.jackson@health.nsw.gov.au,Completed,,,,,,,,2024-03-11
199427.35,36,728.5,,,,,,,,1063,,,,,3.8,,,,,Marketing,Parramatta,Contract,Grade 2,,,,,,,Liam Bailey,liam.bailey@health.nsw.gov.au,Needs review,,,,,,,,2023-11-20
50324.31,35,1906.7,,,,,,,,1064,,,,,3.8,,,,,Sales,North Sydney,Casual,Grade 3,,,,,,,Chen Edwards,chen.edwards@health.nsw.gov.au,Pending approval,,,,,,,,2024-09-03
78109.78,7,1682.0,,,,,,,,1065,,,,,2.2,,,,,Operations,North Sydney,Contract,Grade 1,,,,,,,Mohammed Turner,mohammed.turner@health.nsw.gov.au,Needs review,,,,,,,,2023-10-08
37737.67,4,1151.4,,,,,,,,1066,,,,,3.8,,,,,Engineering,Chatswood,Full Time,Grade 1,,,,,,,Jessica Clark,jessica.clark@health.nsw.gov.au,Escalated,,,,,,,,2024-05-05
104879.7,12,1934.4,,,,,,,,1067,,,,,2.0,,,,,IT,Sydney CBD,Full Time,Grade 4,,,,,,,Chloe Taylor,chloe.taylor@health.nsw.gov.au,Pending approval,,,,,,,,2024-10-06
146696.67,10,383.5,,,,,,,,1068,,,,,3.3,,,,,Marketing,Sydney CBD,Part Time,Grade 1,,,,,,,Sarah Kim,sarah.kim@health.nsw.gov.au,Escalated,,,,,,,,2024-09-12
131341.56,40,528.8,,,,,,,,1069,,,,,3.1,,,,,IT,Chatswood,Contract,Grade 5,,,,,,,Ava Lewis,ava.lewis@health.nsw.gov.au,Pending approval,,,,,,,,2024-09-27
40239.15,48,288.5,,,,,,,,1070,,,,,4.1,,,,,Sales,Parramatta,Full Time,Grade 2,,,,,,,Sam Walker,sam.walker@health.nsw.gov.au,Pending approval,,,,,,,,2023-03-18
56610.54,27,956.0,,,,,,,,1071,,,,,3.4,,,,,Marketing,Sydney CBD,Part Time,Grade 3,,,,,,,Mohammed Clark,mohammed.clark@health.nsw.gov.au,,,,,,,,,2024-04-09
42100.56,15,1855.4,,,,,,,,1072,,,,,4.2,,,,,Sales,Chatswood,Full Time,Grade 5,,,,,,,Ben Rogers,ben.rogers@health.nsw.gov.au,Needs review,,,,,,,,2023-09-30
170527.3,5,213.3,,,,,,,,1073,,,,,4.2,,,,,Marketing,Chatswood,Full Time,Grade 4,,,,,,,Sophie Lewis,sophie.lewis@health.nsw.gov.au,,,,,,,,,2024-02-17
190254.96,33,1126.0,,,,,,,,1074,,,,,2.8,,,,,Finance,Chatswood,Contract,Grade 5,,,,,,,Jake Jones,jake.jones@health.nsw.gov.au,On track,,,,,,,,2023-08-23
193524.89,37,1215.5,,,,,,,,1075,,,,,1.1,,,,,Marketing,Macquarie Park,Full Time,Grade 2,,,,,,,Mia Jackson,mia.jackson@health.nsw.gov.au,,,,,,,,,2024-03-28
185732.37,12,1994.2,,,,,,,,1076,,,,,2.7,,,,,IT,Sydney CBD,Casual,Grade 3,,,,,,,Emma King,emma.king@health.nsw.gov.au,Completed,,,,,,,,2024-11-17
47781.98,11,726.6,,,,,,,,1077,,,,,3.8,,,,,Marketing,Chatswood,Full Time,Grade 4,,,,,,,Lucas Lee,lucas.lee@health.nsw.gov.au,Completed,,,,,,,,2023-11-28
49706.67,50,867.9,,,,,,,,1078,,,,,3.1,,,,,Finance,Macquarie Park,Casual,Grade 4,,,,,,,Noah Wright,noah.wright@health.nsw.gov.au,Pending approval,,,,,,,,2024-01-06
135847.76,32,1288.3,,,,,,,,1079,,,,,4.0,,,,,Sales,Parramatta,Part Time,Grade 3,,,,,,,Sophia Bell,sophia.bell@health.nsw.gov.au,Escalated,,,,,,,,2023-05-05
34907.81,41,1256.9,,,,,,,,1080,,,,,2.0,,,,,Engineering,Parramatta,Full Time,Grade 5,,,,,,,Emma Davies,emma.davies@health.nsw.gov.au,Needs review,,,,,,,,2023-04-27
108446.14,8,1330.6,,,,,,,,1081,,,,,1.6,,,,,Marketing,Macquarie Park,Contract,Grade 4,,,,,,,Mia Mitchell,mia.mitchell@health.nsw.gov.au,Needs review,,,,,,,,2024-04-12
123715.06,25,462.2,,,,,,,,1082,,,,,3.4,,,,,Engineering,Sydney CBD,Contract,Grade 4,,,,,,,Tyler Anderson,tyler.anderson@health.nsw.gov.au,Completed,,,,,,,,2023-01-03
78082.63,20,1691.2,,,,,,,,1083,,,,,3.3,,,,,IT,North Sydney,Casual,Grade 5,,,,,,,Mia Allen,mia.allen@health.nsw.gov.au,Completed,,,,,,,,2024-07-19
159688.36,25,965.2,,,,,,,,1084,,,,,2.3,,,,,Sales,North Sydney,Casual,Grade 2,,,,,,,Elena Green,elena.green@health.nsw.gov.au,On track,,,,,,,,2023-11-22
156599.88,46,1835.5,,,,,,,,1085,,,,,2.5,,,,,Engineering,Chatswood,Full Time,Grade 2,,,,,,,Emily Edwards,emily.edwards@health.nsw.gov.au,Completed,,,,,,,,2023-04-13
178612.36,29,289.5,,,,,,,,1086,,,,,4.6,,,,,Finance,North Sydney,Casual,Grade 2,,,,,,,Jack Mitchell,jack.mitchell@health.nsw.gov.au,Completed,,,,,,,,2023-12-13
135954.1,26,1334.7,,,,,,,,1087,,,,,4.4,,,,,Legal,Parramatta,Casual,Grade 5,,,,,,,William Morris,william.morris@health.nsw.gov.au,On track,,,,,,,,2023-08-29
137297.37,19,1995.1,,,,,,,,1088,,,,,4.0,,,,,Legal,Sydney CBD,Full Time,Grade 4,,,,,,,Daniel Bell,daniel.bell@health.nsw.gov.au,Completed,,,,,,,,2023-01-30
37818.46,4,657.4,,,,,,,,1089,,,,,2.5,,,,,Engineering,North Sydney,Casual,Grade 5,,,,,,,Ella Walker,ella.walker@health.nsw.gov.au,Needs review,,,,,,,,2023-06-29
43424.62,25,1277.4,,,,,,,,1090,,,,,2.0,,,,,Engineering,North Sydney,Casual,Grade 3,,,,,,,Isabella Martin,isabella.martin@health.nsw.gov.au,,,,,,,,,2023-01-10
182814.45,30,1812.3,,,,,,,,1091,,,,,3.7,,,,,Engineering,Sydney CBD,Casual,Grade 3,,,,,,,Lauren Lewis,lauren.lewis@health.nsw.gov.au,,,,,,,,,2024-03-10
147353.3,30,1706.1,,,,,,,,1092,,,,,1.8,,,,,Legal,Chatswood,Full Time,Grade 2,,,,,,,Charlotte Collins,charlotte.collins@health.nsw.gov.au,Completed,,,,,,,,2024-08-11
80298.31,45,660.9,,,,,,,,1093,,,,,4.9,,,,,Legal,Parramatta,Full Time,Grade 5,,,,,,,Ella Nguyen,ella.nguyen@health.nsw.gov.au,On track,,,,,,,,2024-09-12
156679.27,19,1573.9,,,,,,,,1094,,,,,1.9,,,,,Operations,North Sydney,Part Time,Grade 5,,,,,,,Jake Morgan,jake.morgan@health.nsw.gov.au,,,,,,,,,2024-11-06
145745.37,9,1293.7,,,,,,,,1095,,,,,4.6,,,,,Finance,Parramatta,Casual,Grade 1,,,,,,,Lauren Young,lauren.young@health.nsw.gov.au,,,,,,,,,2023-05-15
45322.67,19,720.8,,,,,,,,1096,,,,,2.7,,,,,Sales,North Sydney,Contract,Grade 5,,,,,,,Emily Harris,emily.harris@health.nsw.gov.au,Needs review,,,,,,,,2023-09-21
185388.32,31,1938.0,,,,,,,,1097,,,,,2.2,,,,,Operations,Sydney CBD,Casual,Grade 1,,,,,,,Alexander Kim,alexander.kim@health.nsw.gov.au,Needs review,,,,,,,,2024-11-23
153116.84,26,1937.8,,,,,,,,1098,,,,,4.2,,,,,Operations,Sydney CBD,Casual,Grade 1,,,,,,,Jake Turner,jake.turner@health.nsw.gov.au,On track,,,,,,,,2024-04-10
92659.56,48,1377.4,,,,,,,,1099,,,,,3.3,,,,,Operations,Sydney CBD,Part Time,Grade 4,,,,,,,Oliver Morris,oliver.morris@health.nsw.gov.au,Pending approval,,,,,,,,2023-12-02
185593.5,15,1330.5,,,,,,,,1100,,,,,3.5,,,,,IT,Parramatta,Casual,Grade 1,,,,,,,Ethan Williams,ethan.williams@health.nsw.gov.au,On track,,,,,,,,2023-11-08
199307.65,8,284.7,,,,,,,,1101,,,,,4.5,,,,,Engineering,Chatswood,Casual,Grade 3,,,,,,,Ruby Nguyen,ruby.nguyen@health.nsw.gov.au,,,,,,,,,2024-07-07
101251.55,48,1480.5,,,,,,,,1102,,,,,4.5,,,,,HR,Chatswood,Casual,Grade 3,,,,,,,William Bell,william.bell@health.nsw.gov.au,Completed,,,,,,,,2023-08-11
105375.12,16,1725.4,,,,,,,,1103,,,,,1.4,,,,,Operations,Macquarie Park,Contract,Grade 1,,,,,,,Olivia Harris,olivia.harris@health.nsw.gov.au,Needs review,,,,,,,,2023-05-06
191331.83,30,274.2,,,,,,,,1104,,,,,1.8,,,,,Finance,Sydney CBD,Contract,Grade 2,,,,,,,Ethan Collins,ethan.collins@health.nsw.gov.au,Needs review,,,,,,,,2023-03-12
171069.03,36,493.6,,,,,,,,1105,,,,,1.9,,,,,Sales,Parramatta,Part Time,Grade 5,,,,,,,James Harris,james.harris@health.nsw.gov.au,Needs review,,,,,,,,2023-05-14
121836.63,12,308.9,,,,,,,,1106,,,,,4.5,,,,,Engineering,Sydney CBD,Contract,Grade 2,,,,,,,Lauren Lee,lauren.lee@health.nsw.gov.au,On track,,,,,,,,2023-06-28
75112.48,9,1509.3,,,,,,,,1107,,,,,3.1,,,,,HR,Chatswood,Casual,Grade 3,,,,,,,Emily Edwards,emily.edwards@health.nsw.gov.au,On track,,,,,,,,2024-04-07
115652.58,40,182.4,,,,,,,,1108,,,,,4.1,,,,,Marketing,Chatswood,Full Time,Grade 1,,,,,,,Mia Scott,mia.scott@health.nsw.gov.au,Escalated,,,,,,,,2024-12-03
48353.51,46,1828.4,,,,,,,,1109,,,,,1.3,,,,,HR,Parramatta,Part Time,Grade 1,,,,,,,Ethan Harris,ethan.harris@health.nsw.gov.au,Pending approval,,,,,,,,2024-10-10
129512.0,46,717.9,,,,,,,,1110,,,,,5.0,,,,,Marketing,Chatswood,Casual,Grade 1,,,,,,,Sophie Wilson,sophie.wilson@health.nsw.gov.au,,,,,,,,,2024-10-28
179210.06,36,1469.6,,,,,,,,1111,,,,,1.9,,,,,IT,North Sydney,Casual,Grade 3,,,,,,,Isabella Scott,isabella.scott@health.nsw.gov.au,Escalated,,,,,,,,2023-04-08
83133.22,21,1363.7,,,,,,,,1112,,,,,2.5,,,,,Engineering,Chatswood,Full Time,Grade 1,,,,,,,Lucas Davies,lucas.davies@health.nsw.gov.au,Escalated,,,,,,,,2023-04-09
156580.12,24,1642.4,,,,,,,,1113,,,,,3.2,,,,,Operations,Sydney CBD,Casual,Grade 3,,,,,,,Ruby Kim,ruby.kim@health.nsw.gov.au,Escalated,,,,,,,,2023-02-22
194627.77,39,693.7,,,,,,,,1114,,,,,1.4,,,,,Sales,North Sydney,Casual,Grade 2,,,,,,,Henry Allen,henry.allen@health.nsw.gov.au,Pending approval,,,,,,,,2024-01-12
49530.5,18,1190.8,,,,,,,,1115,,,,,4.2,,,,,Finance,Macquarie Park,Contract,Grade 1,,,,,,,Matthew Harris,matthew.harris@health.nsw.gov.au,,,,,,,,,2023-11-13
186661.38,23,111.6,,,,,,,,1116,,,,,4.5,,,,,Legal,Sydney CBD,Part Time,Grade 1,,,,,,,Lucas Nguyen,lucas.nguyen@health.nsw.gov.au,Pending approval,,,,,,,,2023-08-09
93953.05,30,747.7,,,,,,,,1117,,,,,2.5,,,,,Operations,Macquarie Park,Full Time,Grade 1,,,,,,,Alexander Johnson,alexander.johnson@health.nsw.gov.au,Pending approval,,,,,,,,2023-02-20
144574.68,18,941.9,,,,,,,,1118,,,,,2.7,,,,,IT,Chatswood,Contract,Grade 2,,,,,,,Marcus Anderson,marcus.anderson@health.nsw.gov.au,On track,,,,,,,,2023-12-20
103085.32,19,1388.6,,,,,,,,1119,,,,,3.4,,,,,Marketing,Sydney CBD,Part Time,Grade 4,,,,,,,Priya Brown,priya.brown@health.nsw.gov.au,On track,,,,,,,,2023-07-29
81241.29,14,1558.0,,,,,,,,1120,,,,,4.1,,,,,Marketing,Parramatta,Full Time,Grade 1,,,,,,,Chloe Nguyen,chloe.nguyen@health.nsw.gov.au,Escalated,,,,,,,,2023-06-29
51961.57,35,1437.0,,,,,,,,1121,,,,,3.0,,,,,Operations,Sydney CBD,Casual,Grade 1,,,,,,,Ava Jones,ava.jones@health.nsw.gov.au,Escalated,,,,,,,,2023-03-21
176558.7,37,915.6,,,,,,,,1122,,,,,2.6,,,,,Legal,Parramatta,Full Time,Grade 4,,,,,,,Oliver Lee,oliver.lee@health.nsw.gov.au,Needs review,,,,,,,,2024-09-24
108216.47,45,1847.6,,,,,,,,1123,,,,,1.4,,,,,HR,North Sydney,Casual,Grade 5,,,,,,,Olivia Jackson,olivia.jackson@health.nsw.gov.au,On track,,,,,,,,2024-02-10
177989.15,48,745.1,,,,,,,,1124,,,,,2.3,,,,,Engineering,Sydney CBD,Full Time,Grade 5,,,,,,,Emily Wright,emily.wright@health.nsw.gov.au,Completed,,,,,,,,2023-12-26
153654.45,42,1648.6,,,,,,,,1125,,,,,1.9,,,,,Engineering,Parramatta,Part Time,Grade 2,,,,,,,Priya Roberts,priya.roberts@health.nsw.gov.au,,,,,,,,,2023-03-19
60114.84,50,1293.1,,,,,,,,1126,,,,,2.9,,,,,IT,Macquarie Park,Contract,Grade 3,,,,,,,Alexander Baker,alexander.baker@health.nsw.gov.au,On track,,,,,,,,2024-04-25
